dataset_name,idx,words,words_rationale,Partition SHAP,LIME,Integrated Gradient,LIME-LLM
sst2,506,crackerjack,1,0.008912197253677,0.0946494811320142,0.0680502796336589,0.04644562034896358
sst2,506,entertainment,0,0.0387981750387253,0.0189821044883114,-0.1501756494991277,0.015699190114421804
sst2,506,--,0,-0.0066405719924173,-0.0280044900406099,0.1175609943282219,0.0
sst2,506,nonstop,1,0.2195414960969418,0.2606323144215005,0.0835062030819494,0.06070414018505532
sst2,506,romance,1,0.1047824822546295,0.000703168528007,0.0971949998668719,0.06692268591915843
sst2,506,",",0,-0.0512722969702089,-0.0176480111483873,0.0634292004997772,0.0
sst2,506,music,0,0.0409586506306141,0.0512515433839588,0.0384138263824414,0.02651589257731974
sst2,506,",",0,0.0299460960146907,-0.0428710141304098,-0.0162645244624099,0.0
sst2,506,suspense,0,0.0501880041987691,0.0513071455026207,0.0709110085471126,0.04804487068054237
sst2,506,and,0,0.0316031953922078,0.0962539993037721,-0.0254810393969392,0.040965250666409284
sst2,506,action,0,-0.028645313137963,-0.0270185205766285,0.110737194299404,0.03094434972684611
sst2,506,.,0,-0.0296652676959259,-0.0018116793426667,-0.0026231138190099,0.0
sst2,742,it,0,0.0206456825751896,0.0122144259730842,-0.0050070014317678,0.03526198839600606
sst2,742,'s,0,0.0128645629731888,0.0011163770782787,0.0171074965792574,0.0
sst2,742,a,0,-0.0087733495450113,-0.0077526258845258,0.0397949086198783,0.03526198839600606
sst2,742,demented,0,-0.0257549772520169,-0.0172744206880893,0.0140760240763138,0.03526198839600605
sst2,742,kitsch,0,0.0006772693887557,0.0092554895978843,-0.0034692143791887,0.03526198839600606
sst2,742,mess,0,-0.0291604879426557,-0.0829812934642795,0.1617839795800943,0.03526198839600606
sst2,742,(,0,-0.0182984689360757,-0.0218714931731338,0.036256128126626,0.0
sst2,742,although,0,0.0049077733073096,-0.0133279943245735,-0.0314109259685576,0.015752617655379154
sst2,742,the,0,-0.0011921120286357,-0.0084503918415865,-0.0122101274067336,0.0
sst2,742,smeary,0,-0.0213740913289116,-0.0096678166475602,0.0042001616911913,0.03526198839600606
sst2,742,digital,0,-0.0200905466628646,-0.004193924466297,0.0023806101181288,0.035261988396006055
sst2,742,video,0,-0.047313213929185,-0.0197103132684721,0.0128787138630118,0.03526198839600607
sst2,742,does,0,-0.0092812859322548,0.0039167684644927,-0.0086340504056177,0.0
sst2,742,match,0,-0.0092812859322548,-0.0101422340350812,0.0113549974872044,0.0
sst2,742,the,0,-0.0127880442854472,-0.0056155979962228,-0.002219039031727,0.0
sst2,742,muddled,0,-0.0167436353109452,-0.0042446958678099,-0.011231600061048,0.035261988396006055
sst2,742,narrative,0,-0.019152824214533,-0.0016420983527585,-0.0043401614600826,0.03526198839600602
sst2,742,),0,0.0066505030744609,0.0133721077979999,0.0118999167656606,0.0
sst2,742,",",0,-0.0111429179672514,-0.0063299127608784,-0.0024911809555281,0.0
sst2,742,but,1,0.1354955355345753,0.0984244777619847,-0.0311355430844691,0.07811348054479103
sst2,742,it,0,0.0270241550610451,0.0073071842044308,0.0311702966765842,0.03526198839600606
sst2,742,'s,0,0.0270241550610451,0.0179760634285548,0.0041746326636731,0.0
sst2,742,savvy,1,0.0641366820075505,0.0860437335336071,0.0183004433172522,0.0
